Model,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Acura ILX,805,"1,047","1,289","1,152","1,351","1,312","1,224","1,439","1,078","1,430","1,253","1,305"
Acura MDX,"2,968","3,833","3,982","3,339","4,425","4,087","4,788","5,976","3,833","4,368","4,784","5,636"
Acura NSX,31,22,26,23,30,19,10,25,16,15,11,10
Acura RDX,"4,172","4,965","5,835","4,926","5,415","4,868","4,934","5,459","4,384","5,888","5,767","6,263"
Acura RLX,119,127,135,151,91,50,42,38,46,68,80,72
Acura TLX,"1,669","2,219","3,141","2,096","2,235","1,812","1,761","2,252","1,741","2,188","2,587","2,847"
Alfa Romeo 4C,7,16,18,27,14,9,12,13,11,6,6,6
Alfa Romeo Giulia,531,646,858,746,797,768,668,748,614,767,795,767
Alfa Romeo Stelvio,612,700,898,811,761,818,738,827,679,856,888,856
Audi A3,664,823,"1,182",681,947,831,522,705,863,942,995,"1,263"
Audi A4,"1,691","1,436","2,652","1,860","2,223","2,292","2,579","2,924","2,392","2,178","2,056","2,152"
Audi A5,"1,651","1,603","2,224","1,685","2,251","2,160","2,017","2,085","1,646","1,705","1,805","2,191"
Audi A6,"1,889","1,506","1,963","1,374","1,427","1,743","1,246","1,247",770,"1,252","1,264","2,126"
Audi A7,620,474,672,441,526,409,289,331,199,294,246,454
Audi A8,284,242,261,187,190,166,114,164,109,245,465,536
Audi eTron,-,-,-,253,856,726,678,593,434,462,621,746
Audi Q3,193,120,85,17,11,6,"1,415","2,420","1,820","1,943","2,497","4,295"
Audi Q5,"4,340","4,359","6,529","4,350","5,721","6,747","6,434","6,282","4,374","5,960","6,152","6,268"
Audi Q7,"2,061","1,965","3,091","2,752","3,241","2,923","2,751","3,408","2,357","2,971","3,162","3,967"
Audi Q8,807,900,"1,469","1,280","1,319","1,185","1,123","1,214",987,"1,051","1,210","1,711"
Audi R8,42,55,52,30,27,62,37,35,67,61,54,52
Audi TT,11,77,122,114,153,159,165,123,112,108,91,89
BMW 2-Series,578,738,746,581,253,717,662,617,863,690,805,765
BMW 3-Series,"1,226","2,379","4,620","3,642","4,364","4,927","3,392","3,984","4,303","3,462","6,283","5,245"
BMW 4-Series,"2,842","2,685","1,875","1,214","1,340","1,738","1,484","1,072","1,452","1,030",998,891
BMW 5-Series,"3,679","2,976","3,690","2,857","3,242","6,259","2,521","2,534","2,606","2,837","2,775","2,733"
BMW 6-Series,161,315,149,96,150,80,65,51,31,20,13,8
BMW 7-Series,454,851,988,567,"1,071",744,760,762,625,611,627,763
BMW 8-Series,99,138,364,275,321,325,228,271,374,421,528,"1,066"
BMW i3,255,350,359,331,438,473,304,385,467,359,918,214
BMW i8,23,47,91,87,145,280,101,90,68,64,55,51
BMW X1,941,"1,445","3,470","1,618",659,3,700,"1,710","2,127","1,643","1,711","1,788"
BMW X2,616,"1,256","1,079",822,"1,158",891,686,532,"1,295",829,"1,036","1,093"
BMW X3,"3,135","4,706","6,727","4,321","6,186","7,052","5,690","6,360","5,943","5,952","5,948","8,090"
BMW X4,406,453,577,638,679,864,752,517,948,695,896,"1,333"
BMW X5,"3,092","4,360","4,460","3,781","4,204","4,473","3,804","4,522","4,339","4,444","5,359","7,757"
BMW X6,595,859,646,424,351,170,113,72,45,26,382,557
BMW X7,-,-,"2,186","2,291","2,123","2,214","1,465","1,741","1,734","2,047","2,614","3,159"
BMW Z4,-,-,201,271,424,417,288,285,247,310,265,233
Buick Cascada,245,236,265,426,492,394,132,147,121,26,26,25
Buick Enclave,"4,138","3,973","4,469","4,927","5,685","4,548","4,366","4,890","4,017","3,340","3,464","3,339"
Buick Encore,"8,094","7,770","8,742","7,895","9,109","7,287","8,226","9,213","7,568","9,384","9,730","9,383"
Buick Envision,"2,508","2,407","2,708","2,970","3,427","2,741","2,661","2,980","2,448","2,760","2,861","2,759"
Buick LaCrosse,955,916,"1,031",808,933,746,457,512,420,152,158,153
Buick Regal,"1,121","1,076","1,211",970,"1,119",896,808,905,743,499,516,499
Cadillac ATS,172,165,185,121,139,111,52,58,48,28,28,27
Cadillac CT5,-,-,-,-,-,-,-,-,-,-,-,43
Cadillac CT6,720,691,777,605,698,559,535,599,492,749,778,749
Cadillac CTS,799,767,863,794,916,733,371,416,341,318,330,318
Cadillac Escalade,"2,243","2,153","2,423","3,065","3,537","2,830","3,383","3,789","3,112","2,926","3,036","2,927"
Cadillac XT4,"2,311","2,219","2,496","2,301","2,655","2,124","2,956","3,311","2,719","2,928","3,039","2,928"
Cadillac XT5,"4,368","4,193","4,717","4,263","4,919","3,935","4,051","4,537","3,727","3,677","3,814","3,677"
Cadillac XT6,-,-,-,-,-,74,"1,420","1,590","1,306","2,361","2,448","2,361"
Cadillac XTS,"1,228","1,179","1,327","1,742","2,010","1,608",378,423,348,350,363,350
Chevrolet Blazer,994,955,"1,074","3,826","4,415","3,532","6,682","7,483","6,147","7,576","7,856","7,576"
Chevrolet Bolt,"1,420","1,363","1,533","1,289","1,487","1,190","1,589","1,779","1,462","1,089","1,129","1,089"
Chevrolet Camaro,"3,975","3,816","4,293","4,041","4,662","3,730","4,038","4,522","3,715","3,779","3,917","3,778"
Chevrolet Colorado,"11,018","10,577","11,899","10,292","11,876","9,501","10,413","11,663","9,580","8,391","8,102","8,391"
Chevrolet Corvette,"1,297","1,245","1,401","1,881","2,171","1,736","1,568","1,756","1,442","1,149","1,193","1,149"
Chevrolet Cruze,"7,668","7,361","8,282","5,254","6,062","4,850","1,908","2,136","1,755",889,921,889
Chevrolet Equinox,"29,112","27,947","31,441","27,839","32,121","25,697","26,250","29,400","24,150","30,323","31,446","30,323"
Chevrolet Express,"5,663","5,436","6,116","6,997","8,073","6,458","7,257","8,128","6,677","5,483","5,686","5,483"
Chevrolet Impala,"4,362","4,187","4,710","4,074","4,701","3,761","3,170","3,551","2,917","3,143","3,259","3,143"
Chevrolet Malibu,"11,249","10,799","12,149","10,067",-,"9,292","10,668","11,949","9,815","11,298","11,717","11,299"
Chevrolet Silverado,"37,603","36,099","40,611","46,300","53,424","42,739","51,145","57,283","47,054","53,782","55,744","53,785"
Chevrolet Sonic,"1,467","1,408","1,584","1,308","1,509","1,207",707,791,650,"1,099","1,140","1,100"
Chevrolet Spark,"2,113","2,028","2,282","2,348","2,710","2,168","2,176","2,437","2,002","3,627","3,762","3,627"
Chevrolet Suburban,"3,628","3,483","3,918","5,936","6,850","5,480","4,076","4,565","3,750","3,372","3,497","3,373"
Chevrolet Tahoe,"6,860","6,585","7,408","10,706","12,353","9,883","8,654","9,692","7,962","6,943","7,201","6,942"
